id,accessibility_recordid,accessibility,accessibility_details
1,,,,
2,1,1,"Handicap accessible",
3,17,17,,
4,21,21,,
5,22,22,"Handicap accessible",
6,23,23,"Handicap accessible",
7,25,25,"Handicap accessible",
8,29,29,,
9,30,30,,
10,31,31,,
11,32,32,,
12,34,34,,
13,35,35,,
14,38,38,"Handicap accessible",
15,39,39,,
16,42,42,,
17,44,44,,
18,45,45,,
19,46,46,,
20,47,47,,
21,48,48,,
22,50,50,,
23,51,51,,
24,52,52,"Handicap accessible",
25,53,53,"Handicap accessible",
26,55,55,,
27,57,57,,
28,58,58,,
29,59,59,,
30,62,62,"Handicap accessible",
31,63,63,"Handicap accessible",
32,64,64,"Handicap accessible",
33,65,65,"Handicap accessible",
34,66,66,"Handicap accessible",
35,67,67,"Handicap accessible",
36,68,68,"Handicap accessible",
37,69,69,"Handicap accessible",
38,70,70,"Handicap accessible",
39,72,72,"Handicap accessible",
40,73,73,"Handicap accessible",
41,74,74,"Handicap accessible",
42,75,75,"Handicap accessible",
43,76,76,"Handicap accessible",
44,77,77,"Handicap accessible",
45,78,78,"Handicap accessible",
46,81,81,"Handicap accessible",
47,82,82,,
48,85,85,"Handicap accessible",
49,89,89,"Handicap accessible",
50,92,92,,
51,94,94,,
52,95,95,,
53,96,96,,
54,97,97,,
55,98,98,,
56,99,99,"Handicap accessible",
57,100,100,"Handicap accessible",
58,102,102,"Handicap accessible",
59,103,103,,
60,104,104,,
61,105,105,"Handicap accessible",
62,107,107,"Handicap accessible",
63,108,108,"Handicap accessible",
64,118,118,"Handicap accessible",
65,119,119,"Handicap accessible",
66,122,122,"Handicap accessible",
67,123,123,"Handicap accessible",
68,126,126,"Handicap accessible",
69,127,127,"Handicap accessible",
70,131,131,"Handicap accessible",
71,133,133,"Handicap accessible",
72,134,134,,
73,135,135,,
74,136,136,,
75,143,143,"Handicap accessible",
76,144,144,"Handicap accessible",
77,145,145,,
78,147,147,"Handicap accessible",
79,149,149,"Handicap accessible",
80,150,150,"Handicap accessible",
81,151,151,"Handicap accessible",
82,152,152,"Handicap accessible",
83,156,156,"Handicap accessible",
84,158,158,"Handicap accessible",
85,160,160,"Handicap accessible",
86,161,161,"Handicap accessible",
87,163,163,"Handicap accessible",
88,164,164,,
89,165,165,,
90,166,166,,
91,170,170,"Handicap accessible",
92,171,171,"Handicap accessible",
93,172,172,"Handicap accessible",
94,173,173,"Handicap accessible",
95,174,174,"Handicap accessible",
96,175,175,"Handicap accessible",
97,176,176,"Handicap accessible",
98,181,181,,
99,182,182,,
100,183,183,,
101,184,184,,
102,185,185,,
103,187,187,,
104,189,189,,
105,190,190,,
106,192,192,,
107,197,197,,
108,199,199,,
109,201,201,,
110,203,203,"Handicap accessible",
111,206,206,,
112,207,207,,
113,208,208,,
114,210,210,,
115,211,211,"Handicap accessible",
116,212,212,,
117,213,213,,
118,214,214,,
119,215,215,,
120,216,216,,
121,217,217,,
122,218,218,,
123,221,221,"Handicap accessible",
124,225,225,,
125,227,227,,
126,231,231,,
127,235,235,,
128,236,236,,
129,237,237,"Handicap accessible",
130,238,238,"Handicap accessible",
131,241,241,"Handicap accessible",
132,242,242,"Handicap accessible",
133,246,246,,
134,292,292,,
135,294,294,"Handicap accessible",
136,296,296,,
137,298,298,,
138,303,303,"Handicap accessible",
139,308,308,"Handicap accessible",
140,310,310,,
141,311,311,,
142,312,312,,
143,314,314,,
144,315,315,,
145,317,317,,
146,318,318,,
147,319,319,,
148,320,320,,
149,322,322,,
150,323,323,,
151,324,324,"Handicap accessible",
152,325,325,,
153,326,326,,
154,327,327,,
155,328,328,,
156,329,329,,
157,330,330,,
158,331,331,,
159,332,332,"Handicap accessible",
160,333,333,,
161,347,347,,
162,348,348,,
163,349,349,"Handicap accessible",
164,350,350,,
165,351,351,,
166,359,359,,
167,360,360,,
168,361,361,,
169,362,362,"Handicap accessible",
170,367,367,,
171,373,373,"Handicap accessible",
172,374,374,,
173,375,375,,
174,385,385,,
175,386,386,"Handicap accessible",
176,387,387,"Handicap accessible",
177,388,388,"Handicap accessible",
178,389,389,,
179,390,390,,
180,391,391,,
181,394,394,,
182,395,395,,
183,397,397,,
184,398,398,,
185,399,399,,
186,403,403,,
187,405,405,,
188,408,408,,
189,409,409,,
190,410,410,,
191,411,411,,
192,412,412,,
193,413,413,,
194,415,415,,
195,416,416,,
196,417,417,,
197,419,419,,
198,424,424,"Handicap accessible",
199,427,427,,
200,431,431,,
201,432,432,"Handicap accessible",
202,434,434,"Handicap accessible",
203,436,436,,
204,437,437,,
205,439,439,,
206,440,440,,
207,441,441,,
208,446,446,"Handicap accessible",
209,447,447,"Handicap accessible",
210,448,448,,
211,449,449,"Handicap accessible",
212,450,450,"Handicap accessible",
213,459,459,,
214,460,460,,
215,461,461,,
216,465,465,,
217,466,466,,
218,467,467,,
219,468,468,,
220,470,470,,
221,471,471,,
222,472,472,,
223,473,473,,
224,474,474,,
225,475,475,,
226,480,480,"Handicap accessible",
227,481,481,,
228,482,482,"Handicap accessible",
229,483,483,,
230,484,484,,
231,485,485,,
232,490,490,,
233,492,492,,
234,499,499,"Handicap accessible",
235,501,501,,
236,503,503,,
237,504,504,,
238,505,505,,
239,506,506,,
240,507,507,,
241,508,508,,
242,509,509,,
243,510,510,,
244,513,513,"Handicap accessible",
245,514,514,"Handicap accessible",
246,515,515,"Handicap accessible",
247,526,526,"Handicap accessible",
248,527,527,"Handicap accessible",
249,528,528,,
250,529,529,,
251,530,530,,
252,531,531,,
253,532,532,,
254,533,533,"Handicap accessible",
255,534,534,"Handicap accessible",
256,535,535,"Handicap accessible",
257,536,536,"Handicap accessible",
258,537,537,"Handicap accessible",
259,539,539,"Handicap accessible",
260,541,541,,
261,542,542,,
262,543,543,,
263,545,545,,
264,546,546,,
265,547,547,"Handicap accessible",
266,553,553,"Handicap accessible",
267,554,554,"Handicap accessible",
268,560,560,,
269,561,561,,
270,562,562,,
271,564,564,"Handicap accessible",
272,566,566,,
273,576,576,"Handicap accessible",
274,578,578,"Handicap accessible",
275,579,579,"Handicap accessible",
276,580,580,"Handicap accessible",
277,583,583,,
278,587,587,,
279,593,593,,
280,594,594,"Handicap accessible",
281,595,595,"Handicap accessible",
282,596,596,,
283,601,601,"Handicap accessible",
284,602,602,"Handicap accessible",
285,603,603,"Handicap accessible",
286,604,604,"Handicap accessible",
287,605,605,"Handicap accessible",
288,606,606,"Handicap accessible",
289,607,607,"Handicap accessible",
290,618,618,,
291,621,621,"Handicap accessible",
292,623,623,,
293,624,624,,
294,625,625,,
295,627,627,,
296,629,629,,
297,630,630,,
298,631,631,,
299,632,632,,
300,638,638,,
301,639,639,,
302,641,641,,
303,643,643,,
304,649,649,,
305,650,650,,
306,651,651,,
307,653,653,"Handicap accessible",
308,654,654,,
309,655,655,"Handicap accessible",
310,656,656,,
311,657,657,,
312,658,658,,
313,659,659,,
314,660,660,,
315,661,661,,
316,662,662,"Handicap accessible",
317,664,664,,
318,665,665,,
319,666,666,,
320,667,667,,
321,680,680,,
322,685,685,"Handicap accessible",
323,688,688,,
324,691,691,,
325,693,693,,
326,698,698,,
327,699,699,,
328,707,707,"Handicap accessible",
329,716,716,"Handicap accessible",
330,719,719,,
331,720,720,"Handicap accessible",
332,721,721,,
333,722,722,"Handicap accessible",
334,723,723,,
335,735,735,"Handicap accessible",
336,737,737,,
337,738,738,,
338,739,739,,
339,740,740,,
340,741,741,,
341,742,742,,
342,743,743,,
343,744,744,,
344,748,748,,
345,750,750,"Handicap accessible",
346,752,752,"Handicap accessible",
347,753,753,"Handicap accessible",
348,754,754,"Handicap accessible",
349,759,759,"Handicap accessible",
350,760,760,"Handicap accessible",
351,761,761,"Handicap accessible",
352,762,762,"Handicap accessible",
353,763,763,"Handicap accessible",
354,764,764,"Handicap accessible",
355,766,766,"Handicap accessible",
356,767,767,"Handicap accessible",
357,768,768,"Handicap accessible",
358,769,769,"Handicap accessible",
359,770,770,"Handicap accessible",
360,771,771,,
361,772,772,"Handicap accessible",
362,773,773,"Handicap accessible",
363,775,775,,
364,777,777,"Handicap accessible",
365,788,788,"Handicap accessible",
366,789,789,"Handicap accessible",
367,790,790,,
368,791,791,,
369,792,792,"Handicap accessible",
370,793,793,"Handicap accessible",
371,794,794,"Handicap accessible",
372,795,795,"Handicap accessible",
373,796,796,"Handicap accessible",
374,797,797,"Handicap accessible",
375,798,798,"Handicap accessible",
376,799,799,"Handicap accessible",
377,800,800,,
378,802,802,"Handicap accessible",
379,803,803,,
380,804,804,"Handicap accessible",
381,805,805,,
382,808,808,,
383,813,813,,
384,815,815,,
385,816,816,,
386,818,818,,
387,819,819,,
388,834,834,"Handicap accessible",
389,835,835,"Handicap accessible",
390,837,837,"Handicap accessible",
391,840,840,"Handicap accessible",
392,841,841,"Handicap accessible",
393,844,844,"Handicap accessible",
394,849,849,,
395,850,850,"Handicap accessible",
396,851,851,"Handicap accessible",
397,854,854,,
398,857,857,"Handicap accessible",
399,858,858,"Handicap accessible",
400,859,859,"Handicap accessible",
401,860,860,"Handicap accessible",
402,861,861,"Handicap accessible",
403,863,863,"Handicap accessible",
404,864,864,"Handicap accessible",
405,869,869,"Handicap accessible",
406,870,870,"Handicap accessible",
407,871,871,"Handicap accessible",
408,872,872,"Handicap accessible",
409,873,873,"Handicap accessible",
410,874,874,,
411,875,875,"Handicap accessible",
412,876,876,"Handicap accessible",
413,877,877,"Handicap accessible",
414,878,878,"Handicap accessible",
415,879,879,"Handicap accessible",
416,880,880,,
417,881,881,"Handicap accessible",
418,883,883,"Handicap accessible",
419,886,886,"Handicap accessible",
420,887,887,"Handicap accessible",
421,889,889,"Handicap accessible",
422,891,891,,
423,900,900,"Handicap accessible",
424,902,902,"Handicap accessible",
425,903,903,"Handicap accessible",
426,905,905,,
427,907,907,,
428,908,908,,
429,911,911,,
430,912,912,"Handicap accessible",
431,913,913,"Handicap accessible",
432,914,914,"Handicap accessible",
433,915,915,"Handicap accessible",
434,916,916,"Handicap accessible",
435,917,917,"Handicap accessible",
436,918,918,"Handicap accessible",
437,919,919,"Handicap accessible",
438,920,920,"Handicap accessible",
439,921,921,"Handicap accessible",
440,923,923,"Handicap accessible",
441,924,924,"Handicap accessible",
442,925,925,"Handicap accessible",
443,926,926,,
444,927,927,,
445,928,928,,
446,929,929,,
447,934,934,,
448,935,935,"Handicap accessible",
449,936,936,,
450,938,938,,
451,941,941,,
452,942,942,,
453,943,943,,
454,944,944,"Handicap accessible",
455,945,945,"Handicap accessible",
456,946,946,,
457,950,950,,
458,952,952,"Handicap accessible",
459,953,953,"Handicap accessible",
460,954,954,"Handicap accessible",
461,955,955,,
462,956,956,,
463,957,957,,
464,958,958,,
465,959,959,"Handicap accessible",
466,960,960,"Handicap accessible",
467,962,962,"Handicap accessible",
468,964,964,"Handicap accessible",
469,965,965,"Handicap accessible",
470,966,966,,
471,984,984,"Handicap accessible",
472,985,985,,
473,986,986,,
474,991,991,,
475,997,997,,
476,998,998,,
477,999,999,,
478,1001,1001,"Handicap accessible",
479,1002,1002,"Handicap accessible",
480,1003,1003,,
481,1004,1004,,
482,1005,1005,,
483,1006,1006,,
484,1007,1007,,
485,1009,1009,,
486,1012,1012,"Handicap accessible",
487,1013,1013,"Handicap accessible",
488,1014,1014,,
489,1015,1015,,
490,1016,1016,,
491,1017,1017,,
492,1019,1019,,
493,1020,1020,,
494,1021,1021,,
495,1022,1022,,
496,1025,1025,,
497,1026,1026,,
498,1027,1027,,
499,1032,1032,,
500,1035,1035,,
501,1036,1036,,
502,1037,1037,,
503,1052,1052,,
504,1054,1054,,
505,1056,1056,,
506,1057,1057,"Handicap accessible",
507,1058,1058,"Handicap accessible",
508,1063,1063,,
509,1065,1065,"Handicap accessible",
510,1066,1066,"Handicap accessible",
511,1071,1071,"Handicap accessible",
512,1072,1072,"Handicap accessible",
513,1073,1073,"Handicap accessible",
514,1074,1074,"Handicap accessible",
515,1075,1075,"Handicap accessible",
516,1076,1076,"Handicap accessible",
517,1077,1077,"Handicap accessible",
518,1078,1078,,
519,1080,1080,"Handicap accessible",
520,1083,1083,,
521,1087,1087,,
522,1088,1088,,
523,1095,1095,,
524,1096,1096,,
525,1097,1097,,
526,1098,1098,,
527,1099,1099,,
528,1100,1100,,
529,1101,1101,,
530,1102,1102,,
